Component, CC
net.sf.jabref.MedlineHandler,6
tests.net.sf.jabref.imports.IsiImporterTest,10
net.sf.jabref.label.IncollectionLabelRule,1
net.sf.jabref.export.layout.format.AuthorAndsCommaReplacer,5
jabref.src.extensions.SimpleCsvImporter,1
antlr.CharRangeElement,2
net.sf.jabref.imports.CiteSeerUndoHandler,12
net.sf.jabref.ExternalTab,25
net.sf.jabref.gui.PersistenceTableColumnListener,3
net.sf.jabref.imports.EntryFetcher,6
net.sf.jabref.wizard.text.gui.TextInputDialog,24
net.sf.jabref.oo.OOBibStyle,20
antlr.preprocessor.PreprocessorLexer,1
antlr.debug.NewLineEvent,1
net.sf.jabref.BibTeXMLHandler,3
tests.net.sf.jabref.export.layout.format.AuthorOrgSciTest,1
net.sf.jabref.AuthorList,13
net.sf.jabref.export.ModsExportFormat,6
net.sf.jabref.CrossRefEntryComparator,3
antlr.CharFormatter,2
net.sf.jabref.TransferableBibtexEntry,2
net.sf.jabref.collab.PreambleChange,5
tests.net.sf.jabref.export.layout.format.AuthorLastFirstCommasTest,1
antlr.debug.ParserMatchAdapter,1
net.sf.jabref.imports.SilverPlatterImporter,10
net.sf.jabref.external.AutoSetExternalFileForEntries,21
tests.net.sf.jabref.export.layout.format.AuthorFirstAbbrLastOxfordCommasTest,1
net.sf.jabref.mods.PersonName,7
antlr.debug.Event,1
antlr.RecognitionException,2
net.sf.ext.BrowserLauncher,4
antlr.ImportVocabTokenManager,2
net.sf.jabref.groups.UndoableModifySubtree,2
spl.PdfImporter,7
net.sf.jabref.gui.FileDialogs,1
tests.net.sf.jabref.export.layout.format.CompositeFormatTest,1
net.sf.jabref.ContentSelectorDialog2,14
net.sf.jabref.BibtexEntry,33
net.sf.jabref.wizard.integrity.IntegrityMessage,4
net.sf.jabref.imports.OAI2Handler,5
net.sf.jabref.export.layout.format.ConvertSpecialCharactersForHTML,5
antlr.DefineGrammarSymbols,2
net.sf.jabref.imports.ImportFileFilter,2
net.sf.jabref.export.layout.format.AuthorNatBib,1
spl.gui.MetaDataListDialog,1
antlr.preprocessor.GrammarFile,1
antlr.ANTLRTokdefParserTokenTypes,2
antlr.debug.InputBufferEvent,1
net.sf.jabref.export.layout.format.FixAuthorForXML,2
net.sf.jabref.groups.CopyOfEntryTableTransferHandler,2
tests.net.sf.jabref.export.layout.LayoutTest,4
tests.net.sf.jabref.TestUtil,2
net.sf.jabref.util.ResourceExtractor,4
